tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
369,07:46.4,13:55.6,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,43798,Customer,1970,0
102,13:25.3,15:07.8,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,28583,Customer,1970,0
2036,16:39.7,50:35.9,3276,Marin Light Rail,40.71458404,-74.04281706,3280,Astor Place,40.7192822,-74.07126188,46627,Customer,1970,0
366,21:44.7,27:51.6,3639,Harborside,40.7192517,-74.034234,3205,JC Medical Center,40.71653978,-74.04963791,43798,Customer,1970,0
718,22:28.1,34:26.4,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,42277,Subscriber,1958,1
3022,26:25.6,16:48.5,3281,Leonard Gordon Park,40.74590997,-74.05727148,3281,Leonard Gordon Park,40.74590997,-74.05727148,42527,Customer,1970,0
2060,00:44.1,35:04.8,3210,Pershing Field,40.74267714,-74.05178863,3270,Jersey & 6th St,40.72528911,-74.04557168,42205,Customer,1970,0
126,01:14.6,03:21.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,43352,Customer,1970,0
366,25:59.8,32:06.2,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,38470,Customer,1970,0
138,34:31.3,36:49.6,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,44333,Customer,1970,0
394,48:05.0,54:39.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3270,Jersey & 6th St,40.72528911,-74.04557168,44731,Customer,1970,0
869,04:40.2,19:10.1,3210,Pershing Field,40.74267714,-74.05178863,3198,Heights Elevator,40.74871595,-74.0404433,33361,Customer,1970,0
344,07:34.7,13:18.8,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,43997,Subscriber,1984,1
136,34:37.8,36:54.1,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,43928,Subscriber,1984,1
510,37:51.9,46:22.9,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,42575,Subscriber,1996,1
276,39:18.1,43:54.3,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42157,Customer,1970,0
447,52:54.1,00:22.0,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,44664,Customer,1970,0
447,10:13.5,17:41.4,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,43467,Subscriber,1958,1
